name,position,clubCode,clubName,basePrice,tierLabel,goals,assists,ownedBy,departed,departedNote
Mukiele,DEF,SUN,Sunderland,6,2,3,5,,False,
Mundle,MID,SUN,Sunderland,4,2,0,0,,False,
Muniz,FWD,FUL,Fulham,6,2,1,1,,False,
Munoz,MID,LIV,Liverpool,8,1,0,0,,False,
Murillo,DEF,NFO,Nott'm Forest,6,3,1,0,,False,
Muñoz,DEF,NFO,Nott'm Forest,4,3,4,4,,False,
Mykolenko,DEF,EVE,Everton,4,2,0,1,,False,
N.Gonzalez,MID,NEW,Newcastle,6,2,1,0,,False,
N.Jackson,FWD,AVL,Aston Villa,8,1,0,0,RSS,False,
N.Williams,DEF,NFO,Nott'm Forest,4,3,2,3,Revenge of the Fallen,False,
Ndiaye,MID,EVE,Everton,6,2,6,3,M³: Maestro Marauders Magic,False,
Ndoye,MID,NFO,Nott'm Forest,6,3,1,2,,False,
Neave,FWD,NEW,Newcastle,4,2,0,0,,False,
Nedeljkovic,DEF,AVL,Aston Villa,4,1,0,0,,True,Has joined Rangers on loan for the rest of the season
Nelson,MID,ARS,Arsenal,6,1,0,1,,True,has departed the club as a free agent.
Neto,MID,CHE,Chelsea,8,2,5,7,,False,
Netz,DEF,NFO,Nott'm Forest,4,3,0,0,,False,
Ngumoha,MID,LIV,Liverpool,6,1,2,1,,False,
Nketiah,FWD,CRY,Crystal Palace,6,3,2,0,,False,
Nmecha,FWD,LEE,Leeds,6,2,6,1,,False,
Nwaneri,MID,ARS,Arsenal,4,1,0,0,,False,
Nyoni,MID,LIV,Liverpool,4,1,0,0,,False,
Nørgaard,MID,EVE,Everton,4,2,0,0,,False,
Núñez,MID,IPS,Ipswich Town,4,3,0,0,,False,
O'Brien,DEF,EVE,Everton,4,2,1,3,,False,
O'Nien,DEF,SUN,Sunderland,4,2,0,1,,False,
O'Reilly,DEF,MCI,Man City,8,1,5,4,Annoying Sabui,False,
O'Riley,MID,BHA,Brighton,6,2,1,0,,False,
O'Shea,DEF,IPS,Ipswich Town,4,3,0,2,,False,
O.Dango,MID,BRE,Brentford,8,2,7,8,,False,
O.Richards,DEF,NFO,Nott'm Forest,4,3,0,0,,False,
Obi,FWD,MUN,Man Utd,4,1,0,0,,False,
Odobert,MID,TOT,Spurs,6,3,0,2,,False,
Ogbene,MID,IPS,Ipswich Town,4,3,0,0,,False,
Okafor,MID,LEE,Leeds,6,2,8,3,,False,
Olusesi,MID,TOT,Spurs,4,3,0,0,,False,
Onana,MID,AVL,Aston Villa,4,1,2,0,,False,
Onyeka,MID,COV,Coventry City,4,3,0,2,,False,
Oriola,MID,BHA,Brighton,4,2,0,0,,False,
Osman,MID,BHA,Brighton,4,2,0,0,,False,
Osula,FWD,NEW,Newcastle,6,2,7,1,,False,
Ouattara,DEF,IPS,Ipswich Town,4,3,0,0,Annoying Sabui,False,
P.M.Sarr,MID,TOT,Spurs,4,3,2,4,,False,
Palacios,MID,IPS,Ipswich Town,4,3,0,0,,False,
Palacios,MID,FUL,Fulham,6,2,0,0,,False,
Palestra,DEF,CHE,Chelsea,4,2,0,0,Pune Paltan,False,
Palmer,MID,CHE,Chelsea,12,2,10,2,RSS,False,
Palmer,GK,IPS,Ipswich Town,4,3,0,0,,False,
Patterson,DEF,EVE,Everton,4,2,0,0,,False,
Patterson,GK,SUN,Sunderland,4,2,0,0,,True,Has joined Wrexham permanently
Pau,DEF,AVL,Aston Villa,4,1,0,2,,False,
Pecsi,GK,LIV,Liverpool,4,1,0,0,,True,Has joined TSV Hartberg on loan for the rest of the season
Pedro Porro,DEF,TOT,Spurs,6,3,1,3,M³: Maestro Marauders Magic,False,
Penders,GK,CHE,Chelsea,4,2,0,0,,False,
Perri,GK,LEE,Leeds,4,2,0,0,,True,Has joined Torino on loan for the rest of the season
Petrović,GK,BOU,Bournemouth,4,1,0,0,,False,
Phillips,DEF,TOT,Spurs,4,3,0,0,,True,Has joined Middlesbrough permanently
Phillips,GK,HUL,Hull City,4,3,0,0,,False,
Phillips,MID,MCI,Man City,4,1,0,0,,True,Has joined Sheffield United on loan for the rest of the season
Philogene,MID,IPS,Ipswich Town,6,3,2,0,,False,
Pickford,GK,EVE,Everton,6,2,0,0,,False,
Pinnock,DEF,COV,Coventry City,4,3,0,0,,False,
Piroe,FWD,LEE,Leeds,4,2,0,0,,True,Has joined West Ham United on loan for the rest of the season
Pope,GK,NEW,Newcastle,4,2,0,1,,False,
Quenda,MID,CHE,Chelsea,4,2,0,0,,False,
Ramsay,DEF,LIV,Liverpool,4,1,0,0,,True,Has joined St Mirren on loan for the rest of the season
Rashford,MID,MUN,Man Utd,8,1,0,0,,False,
Raya,GK,ARS,Arsenal,6,1,0,0,Annoying Sabui,False,
Rayan,MID,BOU,Bournemouth,8,1,5,2,,False,
Reed,MID,FUL,Fulham,4,2,1,0,,False,
Reijnders,MID,MCI,Man City,6,1,5,3,,True,Has joined Al Qadsiah permanently
Reinildo,DEF,SUN,Sunderland,4,2,0,2,,False,
Rice,MID,ARS,Arsenal,8,1,4,9,Toxic Xhak-fruit,False,
Richards,DEF,CRY,Crystal Palace,4,3,1,0,,False,
Richarlison,FWD,TOT,Spurs,6,3,11,4,,False,
Rigg,MID,SUN,Sunderland,4,2,1,1,,False,
Robertson,DEF,TOT,Spurs,4,3,1,0,,False,
Robinson,DEF,FUL,Fulham,4,2,1,0,,False,
Rodon,DEF,LEE,Leeds,4,2,2,0,,False,
Rodrigo,MID,MCI,Man City,8,1,1,1,,True,Has joined Barcelona permanently
Rodríguez,FWD,BOU,Bournemouth,6,1,0,0,,False,
Roefs,GK,SUN,Sunderland,4,2,0,0,,False,
Rogers,MID,CHE,Chelsea,8,2,10,8,RSS,False,
Romero,DEF,TOT,Spurs,4,3,4,1,,True,Has joined Atletico Madrid permanently
Rowe,DEF,AVL,Aston Villa,4,1,0,0,,False,
Rowswell,DEF,TOT,Spurs,4,3,0,0,,False,
Rudoni,MID,COV,Coventry City,4,3,0,0,,False,
Ruggeri,DEF,AVL,Aston Villa,4,1,0,0,,False,
Rulli,GK,MCI,Man City,4,1,0,0,,False,
Rushworth,GK,COV,Coventry City,4,3,0,0,,False,
Röhl,MID,EVE,Everton,4,2,1,1,,False,
Rúben,DEF,MCI,Man City,6,1,2,0,Bane of Isakstence,False,
Sadiki,MID,SUN,Sunderland,4,2,0,2,,False,
Saka,MID,ARS,Arsenal,12,1,7,10,Pune Paltan,False,
Sakamoto,MID,COV,Coventry City,4,3,0,0,,False,
Saliba,DEF,ARS,Arsenal,6,1,1,0,,False,
Sanchez,DEF,BOU,Bournemouth,4,1,0,0,,False,
Sarr,MID,CRY,Crystal Palace,6,3,9,2,Revenge of the Fallen,False,
Savona,DEF,NFO,Nott'm Forest,4,3,2,0,,False,
Scarlett,FWD,TOT,Spurs,4,3,0,0,,False,
Schade,MID,BRE,Brentford,6,2,8,5,Patchwork FC,False,
Scherpen,GK,IPS,Ipswich Town,4,3,0,0,,False,
Schlager,MID,NFO,Nott'm Forest,4,3,0,0,,False,
Schuster,DEF,BRE,Brentford,4,2,0,0,,False,
Schär,DEF,NEW,Newcastle,4,2,0,0,,False,
Scott,MID,BOU,Bournemouth,6,1,3,2,,False,
Seelt,DEF,SUN,Sunderland,4,2,0,0,,True,Has joined Swansea City on loan for the rest of the season
Sels,GK,NFO,Nott'm Forest,4,3,0,0,,False,
Semenyo,MID,MCI,Man City,12,1,17,6,Bane of Isakstence,False,
Senesi,DEF,TOT,Spurs,6,3,0,6,,False,
Sessegnon,DEF,FUL,Fulham,4,2,3,3,,False,
Shahar,DEF,NEW,Newcastle,4,2,0,0,,False,
Shaw,DEF,MUN,Man Utd,4,1,1,1,,False,
Shepherd,MID,COV,Coventry City,4,3,0,0,,False,
Silva,DEF,BOU,Bournemouth,4,1,0,0,,False,
Simms,FWD,COV,Coventry City,4,3,0,0,,False,
Slater,MID,HUL,Hull City,4,3,0,0,,False,
Smith,DEF,BOU,Bournemouth,4,1,0,2,,False,
Smith Rowe,MID,FUL,Fulham,6,2,3,1,,False,
Solanke,FWD,TOT,Spurs,6,3,3,0,,False,
Soler,DEF,BOU,Bournemouth,4,1,0,0,,False,
Sosa,DEF,CRY,Crystal Palace,4,3,0,0,,False,
Souza,DEF,TOT,Spurs,4,3,0,0,,True,Has joined FC Porto on loan for the rest of the season
Spence,DEF,TOT,Spurs,4,3,0,0,,True,Has joined Internazionale permanently
Stach,MID,LEE,Leeds,6,2,5,6,Cain & Abel,False,
Steele,GK,BHA,Brighton,4,2,0,0,,False,
Steur,MID,NEW,Newcastle,4,2,0,0,,False,
Strand Larsen,FWD,CRY,Crystal Palace,6,3,4,1,,False,
Stroud,MID,HUL,Hull City,4,3,0,0,,False,
Struijk,DEF,BHA,Brighton,4,2,0,1,,False,
Suzuki,GK,AVL,Aston Villa,4,1,0,0,Pune Paltan,False,
Svoboda,DEF,BHA,Brighton,4,2,0,0,,False,
Szmodics,MID,IPS,Ipswich Town,4,3,4,0,,True,Has joined Derby County on loan for the rest of the season
Szoboszlai,MID,LIV,Liverpool,8,1,6,7,M³: Maestro Marauders Magic,False,
Sánchez,GK,CHE,Chelsea,4,2,0,1,,False,
Sávio,MID,TOT,Spurs,8,3,1,2,,False,
Talbi,MID,SUN,Sunderland,4,2,4,2,,False,
Tanaka,MID,LEE,Leeds,4,2,2,1,,False,
Targett,DEF,HUL,Hull City,4,3,0,0,,False,
Tarkowski,DEF,EVE,Everton,6,2,2,3,,False,
Tavernier,MID,BOU,Bournemouth,6,1,7,4,Thala aur Xabi,False,
Taylor,MID,IPS,Ipswich Town,4,3,1,0,,False,
Tchaouna,MID,COV,Coventry City,6,3,2,2,,False,
Tel,MID,TOT,Spurs,6,3,4,2,,False,
Tete,DEF,FUL,Fulham,4,2,1,0,,False,
Thiago,FWD,BRE,Brentford,8,2,22,1,Cain & Abel,False,
Thiaw,DEF,NEW,Newcastle,4,2,4,0,,False,
Thomas,DEF,COV,Coventry City,4,3,0,0,,False,
Thomas-Asante,FWD,COV,Coventry City,4,3,0,0,,False,
Tielemans,MID,MUN,Man Utd,6,1,0,4,,False,
Tomiyasu,DEF,CRY,Crystal Palace,4,3,0,0,,False,
Tonali,MID,TOT,Spurs,4,3,0,2,,False,
Torp,MID,COV,Coventry City,6,3,0,0,,False,
Tosin,DEF,CHE,Chelsea,4,2,0,0,,False,
Touré,MID,NEW,Newcastle,6,2,0,0,,False,
Trafford,GK,LEE,Leeds,4,2,0,0,Toxic Xhak-fruit,False,
Travers,GK,EVE,Everton,4,2,0,0,,False,
Truffert,DEF,BOU,Bournemouth,6,1,1,6,,False,
Tsimikas,DEF,LIV,Liverpool,4,1,0,0,,False,
Tzimas,FWD,BHA,Brighton,6,2,1,1,,False,
Tzolakis,GK,HUL,Hull City,4,3,0,0,,False,
Tzolis,MID,ARS,Arsenal,8,1,0,0,Thala aur Xabi,False,
Tóth.A,MID,BOU,Bournemouth,4,1,0,0,,False,
Uche,FWD,CRY,Crystal Palace,4,3,0,1,,True,has returned to Getafe CF
Udogie,DEF,TOT,Spurs,4,3,0,1,,False,
Ugarte,MID,MUN,Man Utd,4,1,0,0,,False,
Valdimarsson,GK,BRE,Brentford,4,2,0,0,,False,
Van Hecke,DEF,TOT,Spurs,4,3,3,3,,False,
Van Oevelen,GK,IPS,Ipswich Town,4,3,0,0,,True,Has joined Valencia on loan for the rest of the season
Van de Ven,DEF,TOT,Spurs,4,3,4,1,,False,
Van den Berg,DEF,BRE,Brentford,4,2,0,3,,False,
Verbruggen,GK,BHA,Brighton,4,2,0,0,,False,
Vicario,GK,TOT,Spurs,4,3,0,0,,True,Has joined Juventus on loan for the rest of the season
Virgil,DEF,LIV,Liverpool,8,1,6,1,Revenge of the Fallen,False,
Vitor Reis,DEF,MCI,Man City,4,1,0,0,,False,
Vuskovic,DEF,BHA,Brighton,4,2,0,0,,False,
Walle Egeli,FWD,IPS,Ipswich Town,4,3,0,0,,False,
Walton,GK,IPS,Ipswich Town,4,3,0,0,,False,
Wan-Bissaka,DEF,AVL,Aston Villa,4,1,0,3,,False,
Watkins,FWD,AVL,Aston Villa,8,1,16,4,,True,Has joined Al Hilal permanently
Watson,MID,BHA,Brighton,4,2,0,0,,True,Has joined Leicester City on loan for the rest of the season
Welbeck,FWD,CHE,Chelsea,6,2,13,1,,False,
Wharton,MID,CRY,Crystal Palace,6,3,1,6,,False,
White,DEF,ARS,Arsenal,6,1,0,1,Toxic Xhak-fruit,False,
Wieffer,DEF,BHA,Brighton,4,2,2,4,,False,
Williams-Barnett,MID,TOT,Spurs,4,3,0,0,,False,
Willock,MID,NEW,Newcastle,4,2,0,2,,False,
Wilson,GK,COV,Coventry City,4,3,0,0,,False,
Wilson,MID,LEE,Leeds,8,2,10,9,,False,
Wilson,FWD,BRE,Brentford,6,2,7,2,,False,
Wirtz,MID,LIV,Liverpool,8,1,5,4,Annoying Sabui,False,
Wissa,FWD,NEW,Newcastle,6,2,1,1,Patchwork FC,False,
Woltemade,FWD,NEW,Newcastle,6,2,8,4,,False,
Wood,FWD,NFO,Nott'm Forest,6,3,3,0,,False,
Woodman,GK,LIV,Liverpool,4,1,0,0,,False,
Woolfenden,DEF,COV,Coventry City,4,3,0,0,,False,
Wright,FWD,COV,Coventry City,4,3,0,0,,False,
Xavi,MID,TOT,Spurs,6,3,2,5,,False,
Xhaka,MID,SUN,Sunderland,6,2,1,6,,False,
Yalcouyé,MID,BHA,Brighton,4,2,0,0,,False,
Yarmoliuk,MID,BRE,Brentford,4,2,1,3,,False,
Yates,MID,NFO,Nott'm Forest,4,3,0,2,,False,
Yeremy,MID,CRY,Crystal Palace,6,3,2,2,,False,
Yirenkyi,MID,COV,Coventry City,4,3,0,0,,False,
Yohanna,MID,BHA,Brighton,4,2,0,0,,False,
Yoro,DEF,MUN,Man Utd,4,1,0,1,,False,
Zambrano,MID,HUL,Hull City,4,3,0,0,,False,
Zepa,MID,FUL,Fulham,4,2,0,0,,False,
Zetterer,GK,LEE,Leeds,4,2,0,0,,False,
Zirkzee,FWD,MUN,Man Utd,4,1,2,1,,False,
Zubimendi,MID,ARS,Arsenal,4,1,5,1,,False,
van Ewijk,DEF,COV,Coventry City,4,3,0,0,,False,
Ömür,MID,HUL,Hull City,4,3,0,0,,False,
Ødegaard,MID,ARS,Arsenal,8,1,1,7,Cain & Abel,False,
Šeško,FWD,MUN,Man Utd,8,1,11,2,Thala aur Xabi,False,
